	clust1	clust2	clust3	id
cell_75	1.0	0.0	0.0	Donor_46
cell_76	1.0	0.0	0.0	Donor_19
cell_77	1.0	0.0	0.0	Donor_17
cell_78	1.0	0.0	0.0	Donor_71
cell_79	1.0	0.0	0.0	Donor_13
cell_80	1.0	0.0	0.0	Donor_96
cell_81	1.0	0.0	0.0	Donor_73
cell_82	1.0	0.0	0.0	Donor_26
cell_83	1.0	0.0	0.0	Donor_21
cell_84	1.0	0.0	0.0	Donor_14
cell_85	1.0	0.0	0.0	Donor_16
cell_86	1.0	0.0	0.0	Donor_11
cell_87	1.0	0.0	0.0	Donor_93
cell_88	1.0	0.0	0.0	Donor_42
cell_89	1.0	0.0	0.0	Donor_13
cell_90	1.0	0.0	0.0	Donor_15
cell_91	1.0	0.0	0.0	Donor_10
cell_92	1.0	0.0	0.0	Donor_59
cell_93	1.0	0.0	0.0	Donor_66
cell_94	1.0	0.0	0.0	Donor_13
cell_95	1.0	0.0	0.0	Donor_61
cell_96	1.0	0.0	0.0	Donor_13
cell_97	1.0	0.0	0.0	Donor_63
cell_98	1.0	0.0	0.0	Donor_15
cell_99	1.0	0.0	0.0	Donor_4
cell_100	1.0	0.0	0.0	Donor_42
cell_101	1.0	0.0	0.0	Donor_21
cell_102	1.0	0.0	0.0	Donor_16
cell_103	1.0	0.0	0.0	Donor_67
cell_104	1.0	0.0	0.0	Donor_11
cell_105	1.0	0.0	0.0	Donor_13
cell_106	1.0	0.0	0.0	Donor_0
cell_107	1.0	0.0	0.0	Donor_99
cell_108	1.0	0.0	0.0	Donor_13
cell_109	1.0	0.0	0.0	Donor_14
cell_110	1.0	0.0	0.0	Donor_15
cell_111	1.0	0.0	0.0	Donor_37
cell_112	1.0	0.0	0.0	Donor_66
cell_113	1.0	0.0	0.0	Donor_51
cell_114	1.0	0.0	0.0	Donor_15
cell_115	1.0	0.0	0.0	Donor_14
cell_116	1.0	0.0	0.0	Donor_20
cell_117	1.0	0.0	0.0	Donor_14
cell_118	1.0	0.0	0.0	Donor_18
cell_119	1.0	0.0	0.0	Donor_17
cell_120	1.0	0.0	0.0	Donor_5
cell_121	1.0	0.0	0.0	Donor_18
cell_122	1.0	0.0	0.0	Donor_18
cell_123	1.0	0.0	0.0	Donor_19
cell_124	1.0	0.0	0.0	Donor_10
cell_125	1.0	0.0	0.0	Donor_34
cell_126	1.0	0.0	0.0	Donor_22
cell_127	1.0	0.0	0.0	Donor_92
cell_128	1.0	0.0	0.0	Donor_10
cell_129	1.0	0.0	0.0	Donor_20
cell_130	1.0	0.0	0.0	Donor_2
cell_131	1.0	0.0	0.0	Donor_32
cell_132	1.0	0.0	0.0	Donor_80
cell_133	1.0	0.0	0.0	Donor_74
cell_134	1.0	0.0	0.0	Donor_26
cell_135	1.0	0.0	0.0	Donor_54
cell_136	1.0	0.0	0.0	Donor_12
cell_137	1.0	0.0	0.0	Donor_60
cell_138	1.0	0.0	0.0	Donor_9
cell_139	1.0	0.0	0.0	Donor_88
cell_140	1.0	0.0	0.0	Donor_70
cell_141	1.0	0.0	0.0	Donor_15
cell_142	1.0	0.0	0.0	Donor_0
cell_143	1.0	0.0	0.0	Donor_73
cell_144	1.0	0.0	0.0	Donor_19
cell_145	1.0	0.0	0.0	Donor_51
cell_146	1.0	0.0	0.0	Donor_14
cell_147	1.0	0.0	0.0	Donor_19
cell_148	1.0	0.0	0.0	Donor_19
cell_149	1.0	0.0	0.0	Donor_11
cell_150	1.0	0.0	0.0	Donor_14
cell_151	1.0	0.0	0.0	Donor_19
cell_152	1.0	0.0	0.0	Donor_19
cell_153	1.0	0.0	0.0	Donor_98
cell_154	1.0	0.0	0.0	Donor_45
cell_155	1.0	0.0	0.0	Donor_12
cell_156	1.0	0.0	0.0	Donor_17
cell_157	1.0	0.0	0.0	Donor_17
cell_158	1.0	0.0	0.0	Donor_14
cell_159	1.0	0.0	0.0	Donor_6
cell_160	1.0	0.0	0.0	Donor_81
cell_161	1.0	0.0	0.0	Donor_31
cell_162	1.0	0.0	0.0	Donor_77
cell_163	1.0	0.0	0.0	Donor_67
cell_164	1.0	0.0	0.0	Donor_16
cell_165	1.0	0.0	0.0	Donor_99
cell_166	1.0	0.0	0.0	Donor_18
cell_167	1.0	0.0	0.0	Donor_32
cell_168	1.0	0.0	0.0	Donor_17
cell_169	1.0	0.0	0.0	Donor_69
cell_170	1.0	0.0	0.0	Donor_17
cell_171	1.0	0.0	0.0	Donor_90
cell_172	1.0	0.0	0.0	Donor_16
cell_173	1.0	0.0	0.0	Donor_71
cell_174	1.0	0.0	0.0	Donor_37
cell_175	1.0	0.0	0.0	Donor_15
cell_176	1.0	0.0	0.0	Donor_15
cell_177	1.0	0.0	0.0	Donor_46
cell_178	1.0	0.0	0.0	Donor_86
cell_179	1.0	0.0	0.0	Donor_63
cell_180	1.0	0.0	0.0	Donor_11
cell_181	1.0	0.0	0.0	Donor_15
cell_182	1.0	0.0	0.0	Donor_60
cell_183	1.0	0.0	0.0	Donor_69
cell_184	1.0	0.0	0.0	Donor_15
cell_185	1.0	0.0	0.0	Donor_2
cell_186	1.0	0.0	0.0	Donor_12
cell_187	1.0	0.0	0.0	Donor_13
cell_188	1.0	0.0	0.0	Donor_29
cell_189	1.0	0.0	0.0	Donor_77
cell_190	1.0	0.0	0.0	Donor_15
cell_191	1.0	0.0	0.0	Donor_61
cell_192	1.0	0.0	0.0	Donor_6
cell_193	1.0	0.0	0.0	Donor_21
cell_194	1.0	0.0	0.0	Donor_52
cell_195	1.0	0.0	0.0	Donor_16
cell_196	1.0	0.0	0.0	Donor_3
cell_197	1.0	0.0	0.0	Donor_37
cell_198	1.0	0.0	0.0	Donor_74
cell_199	1.0	0.0	0.0	Donor_55
cell_200	1.0	0.0	0.0	Donor_87
cell_201	1.0	0.0	0.0	Donor_19
cell_202	1.0	0.0	0.0	Donor_97
cell_203	1.0	0.0	0.0	Donor_44
cell_204	1.0	0.0	0.0	Donor_18
cell_205	1.0	0.0	0.0	Donor_59
cell_206	1.0	0.0	0.0	Donor_14
cell_207	1.0	0.0	0.0	Donor_13
cell_208	1.0	0.0	0.0	Donor_11
cell_209	1.0	0.0	0.0	Donor_13
cell_210	1.0	0.0	0.0	Donor_0
cell_211	1.0	0.0	0.0	Donor_97
cell_212	1.0	0.0	0.0	Donor_39
cell_213	1.0	0.0	0.0	Donor_57
cell_214	1.0	0.0	0.0	Donor_25
cell_215	1.0	0.0	0.0	Donor_39
cell_216	1.0	0.0	0.0	Donor_60
cell_217	1.0	0.0	0.0	Donor_34
cell_218	1.0	0.0	0.0	Donor_11
cell_219	1.0	0.0	0.0	Donor_21
cell_220	1.0	0.0	0.0	Donor_99
cell_221	1.0	0.0	0.0	Donor_91
cell_222	1.0	0.0	0.0	Donor_12
cell_223	1.0	0.0	0.0	Donor_60
cell_224	1.0	0.0	0.0	Donor_16
cell_225	1.0	0.0	0.0	Donor_5
cell_226	1.0	0.0	0.0	Donor_18
cell_227	1.0	0.0	0.0	Donor_17
cell_228	1.0	0.0	0.0	Donor_77
cell_229	1.0	0.0	0.0	Donor_81
cell_230	1.0	0.0	0.0	Donor_40
cell_231	1.0	0.0	0.0	Donor_13
cell_232	1.0	0.0	0.0	Donor_16
cell_233	1.0	0.0	0.0	Donor_36
cell_234	1.0	0.0	0.0	Donor_19
cell_235	1.0	0.0	0.0	Donor_4
cell_236	1.0	0.0	0.0	Donor_57
cell_237	1.0	0.0	0.0	Donor_13
cell_238	1.0	0.0	0.0	Donor_19
cell_239	1.0	0.0	0.0	Donor_62
cell_240	1.0	0.0	0.0	Donor_18
cell_241	1.0	0.0	0.0	Donor_16
cell_242	1.0	0.0	0.0	Donor_18
cell_243	1.0	0.0	0.0	Donor_39
cell_244	1.0	0.0	0.0	Donor_15
cell_245	1.0	0.0	0.0	Donor_11
cell_246	1.0	0.0	0.0	Donor_74
cell_247	1.0	0.0	0.0	Donor_11
cell_248	1.0	0.0	0.0	Donor_16
cell_249	1.0	0.0	0.0	Donor_19
cell_250	1.0	0.0	0.0	Donor_3
cell_251	1.0	0.0	0.0	Donor_7
cell_252	1.0	0.0	0.0	Donor_26
cell_253	1.0	0.0	0.0	Donor_14
cell_254	1.0	0.0	0.0	Donor_74
cell_255	1.0	0.0	0.0	Donor_10
cell_256	1.0	0.0	0.0	Donor_11
cell_257	1.0	0.0	0.0	Donor_13
cell_258	1.0	0.0	0.0	Donor_16
cell_259	1.0	0.0	0.0	Donor_42
cell_260	1.0	0.0	0.0	Donor_11
cell_261	1.0	0.0	0.0	Donor_89
cell_262	1.0	0.0	0.0	Donor_59
cell_263	1.0	0.0	0.0	Donor_11
cell_264	1.0	0.0	0.0	Donor_90
cell_265	1.0	0.0	0.0	Donor_11
cell_266	1.0	0.0	0.0	Donor_86
cell_267	1.0	0.0	0.0	Donor_94
cell_268	1.0	0.0	0.0	Donor_22
cell_269	1.0	0.0	0.0	Donor_16
cell_270	1.0	0.0	0.0	Donor_9
cell_271	1.0	0.0	0.0	Donor_11
cell_272	1.0	0.0	0.0	Donor_73
cell_273	1.0	0.0	0.0	Donor_37
cell_274	1.0	0.0	0.0	Donor_83
cell_275	1.0	0.0	0.0	Donor_80
cell_276	1.0	0.0	0.0	Donor_10
cell_277	1.0	0.0	0.0	Donor_42
cell_278	1.0	0.0	0.0	Donor_13
cell_279	1.0	0.0	0.0	Donor_16
cell_280	1.0	0.0	0.0	Donor_13
cell_281	1.0	0.0	0.0	Donor_17
cell_282	1.0	0.0	0.0	Donor_93
cell_283	1.0	0.0	0.0	Donor_0
cell_284	1.0	0.0	0.0	Donor_11
cell_285	1.0	0.0	0.0	Donor_19
cell_286	1.0	0.0	0.0	Donor_60
cell_287	1.0	0.0	0.0	Donor_19
cell_288	1.0	0.0	0.0	Donor_30
cell_289	1.0	0.0	0.0	Donor_7
cell_290	1.0	0.0	0.0	Donor_62
cell_291	1.0	0.0	0.0	Donor_68
cell_292	1.0	0.0	0.0	Donor_77
cell_293	1.0	0.0	0.0	Donor_99
cell_294	1.0	0.0	0.0	Donor_67
cell_295	1.0	0.0	0.0	Donor_16
cell_296	1.0	0.0	0.0	Donor_46
cell_297	1.0	0.0	0.0	Donor_11
cell_298	1.0	0.0	0.0	Donor_13
cell_299	1.0	0.0	0.0	Donor_68
cell_300	1.0	0.0	0.0	Donor_39
cell_301	1.0	0.0	0.0	Donor_15
cell_302	1.0	0.0	0.0	Donor_66
cell_303	1.0	0.0	0.0	Donor_47
cell_304	1.0	0.0	0.0	Donor_15
cell_305	1.0	0.0	0.0	Donor_80
cell_306	1.0	0.0	0.0	Donor_15
cell_307	1.0	0.0	0.0	Donor_14
cell_308	1.0	0.0	0.0	Donor_2
cell_309	1.0	0.0	0.0	Donor_14
cell_310	1.0	0.0	0.0	Donor_39
cell_311	1.0	0.0	0.0	Donor_12
cell_312	1.0	0.0	0.0	Donor_60
cell_313	1.0	0.0	0.0	Donor_97
cell_314	1.0	0.0	0.0	Donor_10
cell_315	1.0	0.0	0.0	Donor_16
cell_316	1.0	0.0	0.0	Donor_82
cell_317	1.0	0.0	0.0	Donor_1
cell_318	1.0	0.0	0.0	Donor_14
cell_319	1.0	0.0	0.0	Donor_11
cell_320	1.0	0.0	0.0	Donor_15
cell_321	1.0	0.0	0.0	Donor_69
cell_322	1.0	0.0	0.0	Donor_17
cell_323	1.0	0.0	0.0	Donor_19
cell_324	1.0	0.0	0.0	Donor_28
cell_325	1.0	0.0	0.0	Donor_19
cell_326	1.0	0.0	0.0	Donor_85
cell_327	1.0	0.0	0.0	Donor_15
cell_328	1.0	0.0	0.0	Donor_2
cell_329	1.0	0.0	0.0	Donor_15
cell_330	1.0	0.0	0.0	Donor_58
cell_331	1.0	0.0	0.0	Donor_13
cell_332	1.0	0.0	0.0	Donor_30
cell_333	1.0	0.0	0.0	Donor_16
cell_334	1.0	0.0	0.0	Donor_41
cell_335	1.0	0.0	0.0	Donor_88
cell_336	1.0	0.0	0.0	Donor_5
cell_337	1.0	0.0	0.0	Donor_13
cell_338	1.0	0.0	0.0	Donor_18
cell_339	1.0	0.0	0.0	Donor_13
cell_340	1.0	0.0	0.0	Donor_76
cell_341	1.0	0.0	0.0	Donor_86
cell_342	1.0	0.0	0.0	Donor_37
cell_343	1.0	0.0	0.0	Donor_13
cell_344	1.0	0.0	0.0	Donor_13
cell_345	1.0	0.0	0.0	Donor_19
cell_346	1.0	0.0	0.0	Donor_11
cell_347	1.0	0.0	0.0	Donor_30
cell_348	1.0	0.0	0.0	Donor_12
cell_349	1.0	0.0	0.0	Donor_90
cell_350	1.0	0.0	0.0	Donor_14
cell_351	1.0	0.0	0.0	Donor_11
cell_352	1.0	0.0	0.0	Donor_7
cell_353	1.0	0.0	0.0	Donor_17
cell_354	1.0	0.0	0.0	Donor_19
cell_355	1.0	0.0	0.0	Donor_13
cell_356	1.0	0.0	0.0	Donor_0
cell_357	1.0	0.0	0.0	Donor_71
cell_358	1.0	0.0	0.0	Donor_13
cell_359	1.0	0.0	0.0	Donor_18
cell_360	1.0	0.0	0.0	Donor_13
cell_361	1.0	0.0	0.0	Donor_67
cell_362	1.0	0.0	0.0	Donor_54
cell_363	1.0	0.0	0.0	Donor_7
cell_364	1.0	0.0	0.0	Donor_12
cell_365	1.0	0.0	0.0	Donor_68
cell_366	1.0	0.0	0.0	Donor_12
cell_367	1.0	0.0	0.0	Donor_19
cell_368	1.0	0.0	0.0	Donor_64
cell_369	1.0	0.0	0.0	Donor_65
cell_370	1.0	0.0	0.0	Donor_28
cell_371	1.0	0.0	0.0	Donor_9
cell_372	1.0	0.0	0.0	Donor_63
cell_373	1.0	0.0	0.0	Donor_16
cell_374	1.0	0.0	0.0	Donor_18
cell_375	1.0	0.0	0.0	Donor_70
cell_376	1.0	0.0	0.0	Donor_16
cell_377	1.0	0.0	0.0	Donor_19
cell_378	1.0	0.0	0.0	Donor_16
cell_379	1.0	0.0	0.0	Donor_19
cell_380	1.0	0.0	0.0	Donor_4
cell_381	1.0	0.0	0.0	Donor_16
cell_382	1.0	0.0	0.0	Donor_13
cell_383	1.0	0.0	0.0	Donor_85
cell_384	1.0	0.0	0.0	Donor_87
cell_385	1.0	0.0	0.0	Donor_93
cell_386	1.0	0.0	0.0	Donor_19
cell_387	1.0	0.0	0.0	Donor_93
cell_388	1.0	0.0	0.0	Donor_19
cell_389	1.0	0.0	0.0	Donor_8
cell_390	1.0	0.0	0.0	Donor_17
cell_391	1.0	0.0	0.0	Donor_67
cell_392	1.0	0.0	0.0	Donor_15
cell_393	1.0	0.0	0.0	Donor_65
cell_394	1.0	0.0	0.0	Donor_11
cell_395	1.0	0.0	0.0	Donor_18
cell_396	1.0	0.0	0.0	Donor_21
cell_397	1.0	0.0	0.0	Donor_28
cell_398	1.0	0.0	0.0	Donor_12
cell_399	1.0	0.0	0.0	Donor_11
cell_400	1.0	0.0	0.0	Donor_21
cell_401	1.0	0.0	0.0	Donor_11
cell_402	1.0	0.0	0.0	Donor_68
cell_403	1.0	0.0	0.0	Donor_11
cell_404	1.0	0.0	0.0	Donor_14
cell_405	1.0	0.0	0.0	Donor_16
cell_406	1.0	0.0	0.0	Donor_57
cell_407	1.0	0.0	0.0	Donor_90
cell_408	1.0	0.0	0.0	Donor_74
cell_409	1.0	0.0	0.0	Donor_19
cell_410	1.0	0.0	0.0	Donor_10
cell_411	1.0	0.0	0.0	Donor_16
cell_412	1.0	0.0	0.0	Donor_15
cell_413	1.0	0.0	0.0	Donor_13
cell_414	1.0	0.0	0.0	Donor_47
cell_415	1.0	0.0	0.0	Donor_40
cell_416	1.0	0.0	0.0	Donor_14
cell_417	1.0	0.0	0.0	Donor_18
cell_418	1.0	0.0	0.0	Donor_13
cell_419	1.0	0.0	0.0	Donor_16
cell_420	1.0	0.0	0.0	Donor_13
cell_421	1.0	0.0	0.0	Donor_19
cell_422	1.0	0.0	0.0	Donor_33
cell_423	1.0	0.0	0.0	Donor_52
cell_424	1.0	0.0	0.0	Donor_42
cell_425	1.0	0.0	0.0	Donor_19
cell_426	1.0	0.0	0.0	Donor_17
cell_427	1.0	0.0	0.0	Donor_14
cell_428	1.0	0.0	0.0	Donor_75
cell_429	1.0	0.0	0.0	Donor_57
cell_430	1.0	0.0	0.0	Donor_12
cell_431	1.0	0.0	0.0	Donor_19
cell_432	1.0	0.0	0.0	Donor_15
cell_433	1.0	0.0	0.0	Donor_71
cell_434	1.0	0.0	0.0	Donor_11
cell_435	1.0	0.0	0.0	Donor_5
cell_436	1.0	0.0	0.0	Donor_15
cell_437	1.0	0.0	0.0	Donor_26
cell_438	1.0	0.0	0.0	Donor_54
cell_439	1.0	0.0	0.0	Donor_11
cell_440	1.0	0.0	0.0	Donor_77
cell_441	1.0	0.0	0.0	Donor_14
cell_442	1.0	0.0	0.0	Donor_45
cell_443	1.0	0.0	0.0	Donor_18
cell_444	1.0	0.0	0.0	Donor_86
cell_445	1.0	0.0	0.0	Donor_42
cell_446	1.0	0.0	0.0	Donor_34
cell_447	1.0	0.0	0.0	Donor_17
cell_448	1.0	0.0	0.0	Donor_12
cell_449	1.0	0.0	0.0	Donor_15
cell_450	1.0	0.0	0.0	Donor_19
cell_451	1.0	0.0	0.0	Donor_0
cell_452	1.0	0.0	0.0	Donor_40
cell_453	1.0	0.0	0.0	Donor_18
cell_454	1.0	0.0	0.0	Donor_74
cell_455	1.0	0.0	0.0	Donor_18
cell_456	1.0	0.0	0.0	Donor_13
cell_457	1.0	0.0	0.0	Donor_13
cell_458	1.0	0.0	0.0	Donor_71
cell_459	1.0	0.0	0.0	Donor_75
cell_460	1.0	0.0	0.0	Donor_13
cell_461	1.0	0.0	0.0	Donor_15
cell_462	1.0	0.0	0.0	Donor_26
cell_463	1.0	0.0	0.0	Donor_17
cell_464	1.0	0.0	0.0	Donor_14
cell_465	1.0	0.0	0.0	Donor_17
cell_466	1.0	0.0	0.0	Donor_74
cell_467	1.0	0.0	0.0	Donor_26
cell_468	1.0	0.0	0.0	Donor_67
cell_469	1.0	0.0	0.0	Donor_24
cell_470	1.0	0.0	0.0	Donor_94
cell_471	1.0	0.0	0.0	Donor_7
cell_472	1.0	0.0	0.0	Donor_15
cell_473	1.0	0.0	0.0	Donor_67
cell_474	1.0	0.0	0.0	Donor_40
cell_475	1.0	0.0	0.0	Donor_14
cell_476	1.0	0.0	0.0	Donor_4
cell_477	1.0	0.0	0.0	Donor_10
cell_478	1.0	0.0	0.0	Donor_10
cell_479	1.0	0.0	0.0	Donor_9
cell_480	1.0	0.0	0.0	Donor_99
cell_481	1.0	0.0	0.0	Donor_19
cell_482	1.0	0.0	0.0	Donor_71
cell_483	1.0	0.0	0.0	Donor_13
cell_484	1.0	0.0	0.0	Donor_60
cell_485	1.0	0.0	0.0	Donor_16
cell_486	1.0	0.0	0.0	Donor_19
cell_487	1.0	0.0	0.0	Donor_15
cell_488	1.0	0.0	0.0	Donor_11
cell_489	1.0	0.0	0.0	Donor_19
cell_490	1.0	0.0	0.0	Donor_17
cell_491	1.0	0.0	0.0	Donor_16
cell_492	1.0	0.0	0.0	Donor_14
cell_493	1.0	0.0	0.0	Donor_10
cell_494	1.0	0.0	0.0	Donor_18
cell_495	1.0	0.0	0.0	Donor_7
cell_496	1.0	0.0	0.0	Donor_18
cell_497	1.0	0.0	0.0	Donor_90
cell_498	1.0	0.0	0.0	Donor_19
cell_499	1.0	0.0	0.0	Donor_9
cell_500	1.0	0.0	0.0	Donor_85
cell_501	1.0	0.0	0.0	Donor_17
cell_502	1.0	0.0	0.0	Donor_66
cell_503	1.0	0.0	0.0	Donor_19
cell_504	1.0	0.0	0.0	Donor_4
cell_505	1.0	0.0	0.0	Donor_68
cell_506	1.0	0.0	0.0	Donor_4
cell_507	1.0	0.0	0.0	Donor_13
cell_508	1.0	0.0	0.0	Donor_74
cell_509	1.0	0.0	0.0	Donor_14
cell_510	1.0	0.0	0.0	Donor_86
cell_511	1.0	0.0	0.0	Donor_11
cell_512	1.0	0.0	0.0	Donor_16
cell_513	1.0	0.0	0.0	Donor_65
cell_514	1.0	0.0	0.0	Donor_16
cell_515	1.0	0.0	0.0	Donor_15
cell_516	1.0	0.0	0.0	Donor_17
cell_517	1.0	0.0	0.0	Donor_12
cell_518	1.0	0.0	0.0	Donor_51
cell_519	1.0	0.0	0.0	Donor_19
cell_520	1.0	0.0	0.0	Donor_19
cell_521	1.0	0.0	0.0	Donor_16
cell_522	1.0	0.0	0.0	Donor_96
cell_523	1.0	0.0	0.0	Donor_11
cell_524	1.0	0.0	0.0	Donor_13
cell_525	1.0	0.0	0.0	Donor_13
cell_526	1.0	0.0	0.0	Donor_2
cell_527	1.0	0.0	0.0	Donor_16
cell_528	1.0	0.0	0.0	Donor_38
cell_529	1.0	0.0	0.0	Donor_8
cell_530	1.0	0.0	0.0	Donor_45
cell_531	1.0	0.0	0.0	Donor_16
cell_532	1.0	0.0	0.0	Donor_58
cell_533	1.0	0.0	0.0	Donor_18
cell_534	1.0	0.0	0.0	Donor_63
cell_535	1.0	0.0	0.0	Donor_11
cell_536	1.0	0.0	0.0	Donor_14
cell_537	1.0	0.0	0.0	Donor_19
cell_538	1.0	0.0	0.0	Donor_16
cell_539	1.0	0.0	0.0	Donor_16
cell_540	1.0	0.0	0.0	Donor_36
cell_541	1.0	0.0	0.0	Donor_12
cell_542	1.0	0.0	0.0	Donor_76
cell_543	1.0	0.0	0.0	Donor_96
cell_544	1.0	0.0	0.0	Donor_57
cell_545	1.0	0.0	0.0	Donor_10
cell_546	1.0	0.0	0.0	Donor_10
cell_547	1.0	0.0	0.0	Donor_71
cell_548	1.0	0.0	0.0	Donor_11
cell_549	1.0	0.0	0.0	Donor_74
cell_550	1.0	0.0	0.0	Donor_54
cell_551	1.0	0.0	0.0	Donor_48
cell_552	1.0	0.0	0.0	Donor_45
cell_553	1.0	0.0	0.0	Donor_7
cell_554	1.0	0.0	0.0	Donor_39
cell_555	1.0	0.0	0.0	Donor_14
cell_556	1.0	0.0	0.0	Donor_19
cell_557	1.0	0.0	0.0	Donor_17
cell_558	1.0	0.0	0.0	Donor_61
cell_559	1.0	0.0	0.0	Donor_18
cell_560	1.0	0.0	0.0	Donor_13
cell_561	1.0	0.0	0.0	Donor_97
cell_562	1.0	0.0	0.0	Donor_71
cell_563	1.0	0.0	0.0	Donor_8
cell_564	1.0	0.0	0.0	Donor_15
cell_565	1.0	0.0	0.0	Donor_19
cell_566	1.0	0.0	0.0	Donor_10
cell_567	1.0	0.0	0.0	Donor_13
cell_568	1.0	0.0	0.0	Donor_20
cell_569	1.0	0.0	0.0	Donor_76
cell_570	1.0	0.0	0.0	Donor_88
cell_571	1.0	0.0	0.0	Donor_30
cell_572	1.0	0.0	0.0	Donor_13
cell_573	1.0	0.0	0.0	Donor_18
cell_574	1.0	0.0	0.0	Donor_94
cell_575	1.0	0.0	0.0	Donor_17
cell_576	1.0	0.0	0.0	Donor_12
cell_577	1.0	0.0	0.0	Donor_84
cell_578	1.0	0.0	0.0	Donor_92
cell_579	1.0	0.0	0.0	Donor_14
cell_580	1.0	0.0	0.0	Donor_5
cell_581	1.0	0.0	0.0	Donor_62
cell_582	1.0	0.0	0.0	Donor_13
cell_583	1.0	0.0	0.0	Donor_13
cell_584	1.0	0.0	0.0	Donor_41
cell_585	1.0	0.0	0.0	Donor_37
cell_586	1.0	0.0	0.0	Donor_16
cell_587	1.0	0.0	0.0	Donor_11
cell_588	1.0	0.0	0.0	Donor_74
cell_589	1.0	0.0	0.0	Donor_20
cell_590	1.0	0.0	0.0	Donor_91
cell_591	1.0	0.0	0.0	Donor_14
cell_592	1.0	0.0	0.0	Donor_57
cell_593	1.0	0.0	0.0	Donor_16
cell_594	1.0	0.0	0.0	Donor_30
cell_595	1.0	0.0	0.0	Donor_30
cell_596	1.0	0.0	0.0	Donor_12
cell_597	1.0	0.0	0.0	Donor_16
cell_598	1.0	0.0	0.0	Donor_54
cell_599	1.0	0.0	0.0	Donor_14
cell_600	1.0	0.0	0.0	Donor_88
cell_601	1.0	0.0	0.0	Donor_15
cell_602	1.0	0.0	0.0	Donor_99
cell_603	1.0	0.0	0.0	Donor_10
cell_604	1.0	0.0	0.0	Donor_71
cell_605	1.0	0.0	0.0	Donor_81
cell_606	1.0	0.0	0.0	Donor_56
